2025-12-28T00:36:39.489580+0200 | INFO | main:on_startup:32 | ID       - 1240090560
2025-12-28T00:36:39.489782+0200 | INFO | main:on_startup:40 | Groups Mode  - Enabled
2025-12-28T00:36:39.489899+0200 | INFO | main:on_startup:41 | Privacy Mode - Disabled
2025-12-28T00:36:39.489997+0200 | INFO | main:on_startup:42 | Inline Mode  - Enabled
2025-12-28T00:36:39.490091+0200 | INFO | main:on_startup:44 | bot started
2025-12-28T13:51:57.253635+0200 | INFO | main:on_shutdown:48 | bot stopping...
2025-12-28T13:51:57.506367+0200 | INFO | main:on_shutdown:55 | bot stopped
2025-12-28T13:52:00.265299+0200 | INFO | main:on_startup:24 | bot starting...
2025-12-28T13:53:05.567501+0200 | INFO | main:on_startup:24 | bot starting...
2025-12-28T13:53:05.995769+0200 | INFO | main:on_startup:30 | Name     - Zibzia
2025-12-28T13:53:05.996263+0200 | INFO | main:on_startup:31 | Username - @Zibziabot
2025-12-28T13:53:05.996362+0200 | INFO | main:on_startup:32 | ID       - 1240090560
2025-12-28T13:53:05.996450+0200 | INFO | main:on_startup:40 | Groups Mode  - Enabled
2025-12-28T13:53:05.996542+0200 | INFO | main:on_startup:41 | Privacy Mode - Disabled
2025-12-28T13:53:05.996624+0200 | INFO | main:on_startup:42 | Inline Mode  - Enabled
2025-12-28T13:53:05.996701+0200 | INFO | main:on_startup:44 | bot started
2025-12-28T16:41:44.479964+0200 | INFO | main:on_shutdown:48 | bot stopping...
2025-12-28T16:41:44.733162+0200 | INFO | main:on_shutdown:55 | bot stopped
